"row.id","col.id","PRIMARY_NAME_SF","LOCATION_ADDRESS_SF","CITY_NAME_SF","geometry.x","location_name_PFOA","location_PFOA","geometry.y"
"1",5,10,"EARECKSON AIR STATION USAF","SHEMYA ISLAND","ADAK",c(174.107672, 52.722466),"Earekson Air Station, Shemya Island, Aleutian Islands, Alaska","shemya island, aleutian islands, alaska",c(174.113615264899, 52.7139660495138)
"2703",5281,283,"CHEMCENTRAL FARR STREET PROPERTY","6468 FARR STREET","DETROIT",c(-83.03417, 42.38899),"Henry Ford Hospital, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0628493, 42.373759)
"2704",5281,295,"CHEMCENTRAL FARR STREET PROPERTY","6468 FARR STREET","DETROIT",c(-83.03417, 42.38899),"MacDermid Inc., Ferndale, Oakland County, Michigan","ferndale, oakland county, michigan",c(-83.1192114, 42.4567198)
"2705",5281,298,"CHEMCENTRAL FARR STREET PROPERTY","6468 FARR STREET","DETROIT",c(-83.03417, 42.38899),"Marathon Petroleum Company, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.1510215, 42.2805269)
"2706",5281,301,"CHEMCENTRAL FARR STREET PROPERTY","6468 FARR STREET","DETROIT",c(-83.03417, 42.38899),"MDOT - Parcel 5348, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.1026163, 42.3054622)
"2707",5281,313,"CHEMCENTRAL FARR STREET PROPERTY","6468 FARR STREET","DETROIT",c(-83.03417, 42.38899),"Plating Specialties, Madison Heights, Oakland County, Michigan","madison heights, oakland county, michigan",c(-83.0877652, 42.4766468)
"2708",5281,325,"CHEMCENTRAL FARR STREET PROPERTY","6468 FARR STREET","DETROIT",c(-83.03417, 42.38899),"Rogue Manufacturing Complex, Dearborn, Wayne County, Michigan","dearborn, wayne county, michigan",c(-83.1621423, 42.3145529)
"2709",5281,333,"CHEMCENTRAL FARR STREET PROPERTY","6468 FARR STREET","DETROIT",c(-83.03417, 42.38899),"SprayTek, Ferndale, Oakland County, Michigan","ferndale, oakland county, michigan",c(-83.1275381, 42.4670894)
"2710",5281,336,"CHEMCENTRAL FARR STREET PROPERTY","6468 FARR STREET","DETROIT",c(-83.03417, 42.38899),"US Ecology Michigan, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0326177, 42.393179)
"2711",5281,338,"CHEMCENTRAL FARR STREET PROPERTY","6468 FARR STREET","DETROIT",c(-83.03417, 42.38899),"Usher Oil Company, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.1494259, 42.3611131)
"2712",5281,349,"CHEMCENTRAL FARR STREET PROPERTY","6468 FARR STREET","DETROIT",c(-83.03417, 42.38899),"Wolverine Plating Corporation, Roseville, Macomb County, Michigan","roseville, macomb county, michigan",c(-82.9545247, 42.5110761)
"2713",5282,223,"CHEMICAL TECHNOLOGY INC","13271 MOUNT ELLIOTT ST","DETROIT",c(-83.03818, 42.41487),"A-W Custom Chrome, East Pointe, Macomb County, Michigan","east pointe, macomb county, michigan",c(-82.9383497, 42.4648541)
"2714",5282,224,"CHEMICAL TECHNOLOGY INC","13271 MOUNT ELLIOTT ST","DETROIT",c(-83.03818, 42.41487),"A.G. Simpson, Sterling Heights, Macomb County, Michigan","sterling heights, macomb county, michigan",c(-83.0399975, 42.5426982)
"2715",5282,228,"CHEMICAL TECHNOLOGY INC","13271 MOUNT ELLIOTT ST","DETROIT",c(-83.03818, 42.41487),"Aero Box, Roseville, Macomb County, Michigan","roseville, macomb county, michigan",c(-82.9136805, 42.5218281)
"2716",5282,229,"CHEMICAL TECHNOLOGY INC","13271 MOUNT ELLIOTT ST","DETROIT",c(-83.03818, 42.41487),"Aevitas Specialty Services Corp., Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-82.966376, 42.365333)
"2717",5282,232,"CHEMICAL TECHNOLOGY INC","13271 MOUNT ELLIOTT ST","DETROIT",c(-83.03818, 42.41487),"Arted Chrome Plating, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0697558, 42.36635)
"2718",5282,236,"CHEMICAL TECHNOLOGY INC","13271 MOUNT ELLIOTT ST","DETROIT",c(-83.03818, 42.41487),"Beacon Park Finishing, Roseville, Macomb County, Michigan","roseville, macomb county, michigan",c(-82.9600695, 42.5143165)
"2719",5282,242,"CHEMICAL TECHNOLOGY INC","13271 MOUNT ELLIOTT ST","DETROIT",c(-83.03818, 42.41487),"Chor Industries, Troy, Oakland County, Michigan","troy, oakland county, michigan",c(-83.101294, 42.5393092)
"2720",5282,249,"CHEMICAL TECHNOLOGY INC","13271 MOUNT ELLIOTT ST","DETROIT",c(-83.03818, 42.41487),"Color Coat Plating Company, Madison Heights, Oakland County, Michigan","madison heights, oakland county, michigan",c(-83.1099807, 42.5124897)
"2721",5282,251,"CHEMICAL TECHNOLOGY INC","13271 MOUNT ELLIOTT ST","DETROIT",c(-83.03818, 42.41487),"Dana Container Tank Cleaning Division, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.072382, 42.396032)
"2722",5282,254,"CHEMICAL TECHNOLOGY INC","13271 MOUNT ELLIOTT ST","DETROIT",c(-83.03818, 42.41487),"Detroit Chrome, Inc. dba DCI Aerotech, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.1461328, 42.3952497)
"2723",5282,256,"CHEMICAL TECHNOLOGY INC","13271 MOUNT ELLIOTT ST","DETROIT",c(-83.03818, 42.41487),"Detroit Metropolitan Wayne County Airport, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0774466, 42.3695832)
"2724",5282,258,"CHEMICAL TECHNOLOGY INC","13271 MOUNT ELLIOTT ST","DETROIT",c(-83.03818, 42.41487),"Disposal and Recycling Technologies, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.156106, 42.3947373)
"2725",5282,259,"CHEMICAL TECHNOLOGY INC","13271 MOUNT ELLIOTT ST","DETROIT",c(-83.03818, 42.41487),"Domestic Uniform Rental, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0865494, 42.3405137)
"2726",5282,261,"CHEMICAL TECHNOLOGY INC","13271 MOUNT ELLIOTT ST","DETROIT",c(-83.03818, 42.41487),"Dynamic Metal Finishing, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0016226, 42.3931488)
"2727",5282,264,"CHEMICAL TECHNOLOGY INC","13271 MOUNT ELLIOTT ST","DETROIT",c(-83.03818, 42.41487),"EnviroSolids, Dearborn, Wayne County, Michigan","dearborn, wayne county, michigan",c(-83.1575972, 42.3352713)
"2728",5282,265,"CHEMICAL TECHNOLOGY INC","13271 MOUNT ELLIOTT ST","DETROIT",c(-83.03818, 42.41487),"EQ Detroit dba US Ecology, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0472131, 42.3663746)
"2729",5282,269,"CHEMICAL TECHNOLOGY INC","13271 MOUNT ELLIOTT ST","DETROIT",c(-83.03818, 42.41487),"Ford Motor Company - Dearborn Truck Plant, Dearborn, Wayne County, Michigan","dearborn, wayne county, michigan",c(-83.1578918, 42.3123133)
"2730",5282,270,"CHEMICAL TECHNOLOGY INC","13271 MOUNT ELLIOTT ST","DETROIT",c(-83.03818, 42.41487),"Ford Motor Company - New Model Program Development Center, Allen Park, Wayne County, Michigan","allen park, wayne county, michigan",c(-83.1578918, 42.3123133)
"2731",5282,277,"CHEMICAL TECHNOLOGY INC","13271 MOUNT ELLIOTT ST","DETROIT",c(-83.03818, 42.41487),"G2O Energy, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0147366, 42.4007308)
"2732",5282,280,"CHEMICAL TECHNOLOGY INC","13271 MOUNT ELLIOTT ST","DETROIT",c(-83.03818, 42.41487),"Gordie Howe International Bridge U.S. Port of Entry (Customs Plaza), Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.108452, 42.30019)
"2733",5282,283,"CHEMICAL TECHNOLOGY INC","13271 MOUNT ELLIOTT ST","DETROIT",c(-83.03818, 42.41487),"Henry Ford Hospital, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0628493, 42.373759)
"2734",5282,295,"CHEMICAL TECHNOLOGY INC","13271 MOUNT ELLIOTT ST","DETROIT",c(-83.03818, 42.41487),"MacDermid Inc., Ferndale, Oakland County, Michigan","ferndale, oakland county, michigan",c(-83.1192114, 42.4567198)
"2735",5282,301,"CHEMICAL TECHNOLOGY INC","13271 MOUNT ELLIOTT ST","DETROIT",c(-83.03818, 42.41487),"MDOT - Parcel 5348, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.1026163, 42.3054622)
"2736",5282,313,"CHEMICAL TECHNOLOGY INC","13271 MOUNT ELLIOTT ST","DETROIT",c(-83.03818, 42.41487),"Plating Specialties, Madison Heights, Oakland County, Michigan","madison heights, oakland county, michigan",c(-83.0877652, 42.4766468)
"2737",5282,325,"CHEMICAL TECHNOLOGY INC","13271 MOUNT ELLIOTT ST","DETROIT",c(-83.03818, 42.41487),"Rogue Manufacturing Complex, Dearborn, Wayne County, Michigan","dearborn, wayne county, michigan",c(-83.1621423, 42.3145529)
"2738",5282,333,"CHEMICAL TECHNOLOGY INC","13271 MOUNT ELLIOTT ST","DETROIT",c(-83.03818, 42.41487),"SprayTek, Ferndale, Oakland County, Michigan","ferndale, oakland county, michigan",c(-83.1275381, 42.4670894)
"2739",5282,336,"CHEMICAL TECHNOLOGY INC","13271 MOUNT ELLIOTT ST","DETROIT",c(-83.03818, 42.41487),"US Ecology Michigan, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0326177, 42.393179)
"2740",5282,338,"CHEMICAL TECHNOLOGY INC","13271 MOUNT ELLIOTT ST","DETROIT",c(-83.03818, 42.41487),"Usher Oil Company, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.1494259, 42.3611131)
"2741",5282,349,"CHEMICAL TECHNOLOGY INC","13271 MOUNT ELLIOTT ST","DETROIT",c(-83.03818, 42.41487),"Wolverine Plating Corporation, Roseville, Macomb County, Michigan","roseville, macomb county, michigan",c(-82.9545247, 42.5110761)
"2742",5283,227,"CHEMSERVE CORP","9505 COPLAND","DETROIT",c(-83.128858, 42.287867),"Advanced Resources Recovery, Inkster, Wayne County, Michigan","inkster, wayne county, michigan",c(-83.3065713, 42.2904961)
"2743",5283,229,"CHEMSERVE CORP","9505 COPLAND","DETROIT",c(-83.128858, 42.287867),"Aevitas Specialty Services Corp., Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-82.966376, 42.365333)
"2744",5283,232,"CHEMSERVE CORP","9505 COPLAND","DETROIT",c(-83.128858, 42.287867),"Arted Chrome Plating, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0697558, 42.36635)
"2745",5283,251,"CHEMSERVE CORP","9505 COPLAND","DETROIT",c(-83.128858, 42.287867),"Dana Container Tank Cleaning Division, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.072382, 42.396032)
"2746",5283,254,"CHEMSERVE CORP","9505 COPLAND","DETROIT",c(-83.128858, 42.287867),"Detroit Chrome, Inc. dba DCI Aerotech, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.1461328, 42.3952497)
"2747",5283,255,"CHEMSERVE CORP","9505 COPLAND","DETROIT",c(-83.128858, 42.287867),"Detroit Diesel Corporation, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.2650822, 42.3766661)
"2748",5283,256,"CHEMSERVE CORP","9505 COPLAND","DETROIT",c(-83.128858, 42.287867),"Detroit Metropolitan Wayne County Airport, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0774466, 42.3695832)
"2749",5283,258,"CHEMSERVE CORP","9505 COPLAND","DETROIT",c(-83.128858, 42.287867),"Disposal and Recycling Technologies, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.156106, 42.3947373)
"2750",5283,259,"CHEMSERVE CORP","9505 COPLAND","DETROIT",c(-83.128858, 42.287867),"Domestic Uniform Rental, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0865494, 42.3405137)
"2751",5283,261,"CHEMSERVE CORP","9505 COPLAND","DETROIT",c(-83.128858, 42.287867),"Dynamic Metal Finishing, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0016226, 42.3931488)
"2752",5283,264,"CHEMSERVE CORP","9505 COPLAND","DETROIT",c(-83.128858, 42.287867),"EnviroSolids, Dearborn, Wayne County, Michigan","dearborn, wayne county, michigan",c(-83.1575972, 42.3352713)
"2753",5283,265,"CHEMSERVE CORP","9505 COPLAND","DETROIT",c(-83.128858, 42.287867),"EQ Detroit dba US Ecology, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0472131, 42.3663746)
"2754",5283,268,"CHEMSERVE CORP","9505 COPLAND","DETROIT",c(-83.128858, 42.287867),"Ford Motor Company - Allen Park Clay Mine Landfill, Allen Park, Wayne County, Michigan","allen park, wayne county, michigan",c(-83.1986297, 42.2862107)
"2755",5283,269,"CHEMSERVE CORP","9505 COPLAND","DETROIT",c(-83.128858, 42.287867),"Ford Motor Company - Dearborn Truck Plant, Dearborn, Wayne County, Michigan","dearborn, wayne county, michigan",c(-83.1578918, 42.3123133)
"2756",5283,270,"CHEMSERVE CORP","9505 COPLAND","DETROIT",c(-83.128858, 42.287867),"Ford Motor Company - New Model Program Development Center, Allen Park, Wayne County, Michigan","allen park, wayne county, michigan",c(-83.1578918, 42.3123133)
"2757",5283,277,"CHEMSERVE CORP","9505 COPLAND","DETROIT",c(-83.128858, 42.287867),"G2O Energy, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0147366, 42.4007308)
"2758",5283,280,"CHEMSERVE CORP","9505 COPLAND","DETROIT",c(-83.128858, 42.287867),"Gordie Howe International Bridge U.S. Port of Entry (Customs Plaza), Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.108452, 42.30019)
"2759",5283,283,"CHEMSERVE CORP","9505 COPLAND","DETROIT",c(-83.128858, 42.287867),"Henry Ford Hospital, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0628493, 42.373759)
"2760",5283,285,"CHEMSERVE CORP","9505 COPLAND","DETROIT",c(-83.128858, 42.287867),"International Hardcoat, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.2450805, 42.3786752)
"2761",5283,298,"CHEMSERVE CORP","9505 COPLAND","DETROIT",c(-83.128858, 42.287867),"Marathon Petroleum Company, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.1510215, 42.2805269)
"2762",5283,301,"CHEMSERVE CORP","9505 COPLAND","DETROIT",c(-83.128858, 42.287867),"MDOT - Parcel 5348, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.1026163, 42.3054622)
"2763",5283,325,"CHEMSERVE CORP","9505 COPLAND","DETROIT",c(-83.128858, 42.287867),"Rogue Manufacturing Complex, Dearborn, Wayne County, Michigan","dearborn, wayne county, michigan",c(-83.1621423, 42.3145529)
"2764",5283,327,"CHEMSERVE CORP","9505 COPLAND","DETROIT",c(-83.128858, 42.287867),"Schaefer Road Wastewater Treatment Plant, Dearborn, Wayne County, Michigan","dearborn, wayne county, michigan",c(-83.1616909, 42.1865928)
"2765",5283,336,"CHEMSERVE CORP","9505 COPLAND","DETROIT",c(-83.128858, 42.287867),"US Ecology Michigan, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0326177, 42.393179)
"2766",5283,338,"CHEMSERVE CORP","9505 COPLAND","DETROIT",c(-83.128858, 42.287867),"Usher Oil Company, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.1494259, 42.3611131)
"2767",5284,223,"CHRYSAN INDUSTRIES INC","4019 BEAUFAIT ST","DETROIT",c(-83.02168, 42.36625),"A-W Custom Chrome, East Pointe, Macomb County, Michigan","east pointe, macomb county, michigan",c(-82.9383497, 42.4648541)
"2768",5284,229,"CHRYSAN INDUSTRIES INC","4019 BEAUFAIT ST","DETROIT",c(-83.02168, 42.36625),"Aevitas Specialty Services Corp., Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-82.966376, 42.365333)
"2769",5284,232,"CHRYSAN INDUSTRIES INC","4019 BEAUFAIT ST","DETROIT",c(-83.02168, 42.36625),"Arted Chrome Plating, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0697558, 42.36635)
"2770",5284,251,"CHRYSAN INDUSTRIES INC","4019 BEAUFAIT ST","DETROIT",c(-83.02168, 42.36625),"Dana Container Tank Cleaning Division, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.072382, 42.396032)
"2771",5284,254,"CHRYSAN INDUSTRIES INC","4019 BEAUFAIT ST","DETROIT",c(-83.02168, 42.36625),"Detroit Chrome, Inc. dba DCI Aerotech, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.1461328, 42.3952497)
"2772",5284,256,"CHRYSAN INDUSTRIES INC","4019 BEAUFAIT ST","DETROIT",c(-83.02168, 42.36625),"Detroit Metropolitan Wayne County Airport, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0774466, 42.3695832)
"2773",5284,258,"CHRYSAN INDUSTRIES INC","4019 BEAUFAIT ST","DETROIT",c(-83.02168, 42.36625),"Disposal and Recycling Technologies, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.156106, 42.3947373)
"2774",5284,259,"CHRYSAN INDUSTRIES INC","4019 BEAUFAIT ST","DETROIT",c(-83.02168, 42.36625),"Domestic Uniform Rental, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0865494, 42.3405137)
"2775",5284,261,"CHRYSAN INDUSTRIES INC","4019 BEAUFAIT ST","DETROIT",c(-83.02168, 42.36625),"Dynamic Metal Finishing, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0016226, 42.3931488)
"2776",5284,264,"CHRYSAN INDUSTRIES INC","4019 BEAUFAIT ST","DETROIT",c(-83.02168, 42.36625),"EnviroSolids, Dearborn, Wayne County, Michigan","dearborn, wayne county, michigan",c(-83.1575972, 42.3352713)
"2777",5284,265,"CHRYSAN INDUSTRIES INC","4019 BEAUFAIT ST","DETROIT",c(-83.02168, 42.36625),"EQ Detroit dba US Ecology, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0472131, 42.3663746)
"2778",5284,269,"CHRYSAN INDUSTRIES INC","4019 BEAUFAIT ST","DETROIT",c(-83.02168, 42.36625),"Ford Motor Company - Dearborn Truck Plant, Dearborn, Wayne County, Michigan","dearborn, wayne county, michigan",c(-83.1578918, 42.3123133)
"2779",5284,270,"CHRYSAN INDUSTRIES INC","4019 BEAUFAIT ST","DETROIT",c(-83.02168, 42.36625),"Ford Motor Company - New Model Program Development Center, Allen Park, Wayne County, Michigan","allen park, wayne county, michigan",c(-83.1578918, 42.3123133)
"2780",5284,277,"CHRYSAN INDUSTRIES INC","4019 BEAUFAIT ST","DETROIT",c(-83.02168, 42.36625),"G2O Energy, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0147366, 42.4007308)
"2781",5284,280,"CHRYSAN INDUSTRIES INC","4019 BEAUFAIT ST","DETROIT",c(-83.02168, 42.36625),"Gordie Howe International Bridge U.S. Port of Entry (Customs Plaza), Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.108452, 42.30019)
"2782",5284,283,"CHRYSAN INDUSTRIES INC","4019 BEAUFAIT ST","DETROIT",c(-83.02168, 42.36625),"Henry Ford Hospital, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0628493, 42.373759)
"2783",5284,295,"CHRYSAN INDUSTRIES INC","4019 BEAUFAIT ST","DETROIT",c(-83.02168, 42.36625),"MacDermid Inc., Ferndale, Oakland County, Michigan","ferndale, oakland county, michigan",c(-83.1192114, 42.4567198)
"2784",5284,298,"CHRYSAN INDUSTRIES INC","4019 BEAUFAIT ST","DETROIT",c(-83.02168, 42.36625),"Marathon Petroleum Company, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.1510215, 42.2805269)
"2785",5284,301,"CHRYSAN INDUSTRIES INC","4019 BEAUFAIT ST","DETROIT",c(-83.02168, 42.36625),"MDOT - Parcel 5348, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.1026163, 42.3054622)
"2786",5284,313,"CHRYSAN INDUSTRIES INC","4019 BEAUFAIT ST","DETROIT",c(-83.02168, 42.36625),"Plating Specialties, Madison Heights, Oakland County, Michigan","madison heights, oakland county, michigan",c(-83.0877652, 42.4766468)
"2787",5284,325,"CHRYSAN INDUSTRIES INC","4019 BEAUFAIT ST","DETROIT",c(-83.02168, 42.36625),"Rogue Manufacturing Complex, Dearborn, Wayne County, Michigan","dearborn, wayne county, michigan",c(-83.1621423, 42.3145529)
"2788",5284,333,"CHRYSAN INDUSTRIES INC","4019 BEAUFAIT ST","DETROIT",c(-83.02168, 42.36625),"SprayTek, Ferndale, Oakland County, Michigan","ferndale, oakland county, michigan",c(-83.1275381, 42.4670894)
"2789",5284,336,"CHRYSAN INDUSTRIES INC","4019 BEAUFAIT ST","DETROIT",c(-83.02168, 42.36625),"US Ecology Michigan, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0326177, 42.393179)
"2790",5284,338,"CHRYSAN INDUSTRIES INC","4019 BEAUFAIT ST","DETROIT",c(-83.02168, 42.36625),"Usher Oil Company, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.1494259, 42.3611131)
"2791",5285,223,"CHRYSLER CORP","11631 MACK AVE","DETROIT",c(-82.97579, 42.38087),"A-W Custom Chrome, East Pointe, Macomb County, Michigan","east pointe, macomb county, michigan",c(-82.9383497, 42.4648541)
"2792",5285,229,"CHRYSLER CORP","11631 MACK AVE","DETROIT",c(-82.97579, 42.38087),"Aevitas Specialty Services Corp., Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-82.966376, 42.365333)
"2793",5285,232,"CHRYSLER CORP","11631 MACK AVE","DETROIT",c(-82.97579, 42.38087),"Arted Chrome Plating, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0697558, 42.36635)
